FECHA;Dominios Activos
1997;7.219
1998;12.887
1999;18.859
2000;29.590
2001;35.570
2002;43.476
2003;71.158
2004;85.309
2005;298.600
2006;507.874
2007;805.327
2008;1.082.757
2009;1.207.832
2010;1.247.978
2011;1.458.371
2012;1.614.149
ene-13;1.623.247
feb-13;1.633.234
mar-13;1.638.771
abr-13;1.648.082
may-13;1.660.426
jun-13;1.668.709
jul-13;1.674.195
ago-13;1.680.627
sep-13;1.691.030
oct-13;1.696.564
nov-13;1.698.696
dic-13;1.696.538
ene-14;1.706.135
feb-14;1.712.468
mar-14;1.720.552
abr-14;1.727.169
may-14;1.730.581
jun-14;1.730.483
jul-14;1.733.804
ago-14;1.738.090
sep-14;1.747.002
oct-14;1.753.954
nov-14;1.755.628
dic-14;1.755.224
ene-15;1.762.237
feb-15;1.767.415
mar-15;1.770.653
abr-15;1.772.508
may-15;1.774.422
jun-15;1.776.908
jul-15;1.781.083
ago-15;1.783.071
sep-15;1.789.675
oct-15;1.794.352
nov-15;1.794.866
