;es;com.es;org.es;nom.es;gob.es;edu.es;Total
mar-13;1.533.868;82.791;15.001;7.098;538;426;1.639.722
abr-13;1.543.090;82.715;14.965;7.062;540;426;1.648.798
may-13;1.554.822;83.383;14.924;7.088;539;428;1.661.184
jun-13;1.561.951;83.605;14.910;7.209;540;429;1.668.644
jul-13;1.567.385;83.712;14.866;7.187;548;429;1.674.127
ago-13;1.573.921;83.794;14.747;7.144;547;429;1.680.582
sep-13;1.583.988;84.102;14.765;7.115;547;430;1.690.947
oct-13;1.589.619;84.107;14.725;7.066;551;429;1.696.497
nov-13;1.592.222;83.849;14.599;6.991;553;428;1.698.642
dic-13;1.590.769;83.380;14.471;6.922;548;427;1.696.517
ene-14;1.599.877;83.942;14.402;6.859;550;433;1.706.063
feb-14;1.606.677;84.485;14.592;6.745;552;423;1.713.474
mar-14;1.612.825;85.141;14.854;6.673;557;423;1.720.473
abr-14;1.619.141;85.663;14.862;6.642;555;425;1.727.288
may-14;1.623.473;85.871;14.696;6.568;562;425;1.731.595
jun-14;1.624.660;85.308;14.343;6.479;565;429;1.731.784
jul-14;1.627.852;84.923;14.145;6.345;564;427;1.734.256
ago-14;1.633.002;84.325;6.227;14.024;566;428;1.738.572
sep-14;1.641.092;84.539;14.073;6.178;567;430;1.746.879
oct-14;1.648.746;84.179;13.922;6.074;568;432;1.753.921
nov-14;1.650.143;83.937;13.742;5.971;574;430;1.754.797
dic-14;1.651.237;83.521;13.560;5.875;575;433;1.755.201
ene-15;1.658.681;84.439;13.411;5.770;574;433;1.763.308
feb-15;1.664.304;84.103;13.299;5.704;572;436;1.768.418
mar-15;1.668.467;83.486;13.025;5.629;574;436;1.771.617
abr-15;1.670.863;82.840;12.865;5.581;576;438;1.773.163
may-15;1.672.832;82.263;12.740;5.500;579;438;1.774.352
jun-15;1.675.977;81.739;12.610;5.451;583;440;1.776.800
jul-15;1.680.939;81.227;12.522;5.320;584;441;1.781.033
ago-15;1.683.602;80.675;12.399;5.268;582;442;1.782.968
sep-15;1.690.663;80.393;12.287;5.252;582;445;1.789.622
oct-15;1.695.946;80.026;12.090;5.207;583;448;1.794.300
nov-15;1.696.423;79.910;12.104;5.236;586;451;1.794.710
